model,sku_id,n_samples,mean_true,mean_pred,RMSE,MAE,MAPE,RMSLE
XGBoost,320485,1204,32.08637873754153,38.164276123046875,21.785470921694998,12.363202567116367,65.44277238018553,0.5196814576617153
XGBoost,327492,56,12.267857142857142,14.856416702270508,8.016845397689828,5.5661777428218295,82.83247761675273,0.5737048910218817
XGBoost,378934,980,24.13061224489796,31.200864791870117,21.554149479616417,11.519530807222639,76.45581766213222,0.562912129528261
XGBoost,398721,504,22.73015873015873,22.94178009033203,16.279184001125913,10.52802508005074,83.32968874128211,0.644300988321788
XGBoost,545621,28,17.178571428571427,16.371599197387695,6.174468699522358,4.687558514731271,42.55969765334688,0.4250616589211217
XGBoost,546789,196,22.382653061224488,20.987091064453125,8.50337000993959,6.388457451547895,37.207054481101686,0.39853412385280235
XGBoost,547934,868,19.09562211981567,20.062612533569336,11.675688538939928,7.524433550197408,74.34627658464723,0.5546282995274282
XGBoost,600934,196,16.755102040816325,17.869651794433594,14.29096710912903,8.594975462981633,85.34374623418847,0.7460627950864377
XGBoost,673209,56,22.857142857142858,21.203615188598633,8.974123397870166,7.259203451020377,93.1715403310937,0.5796828848080962
XGBoost,679023,252,15.432539682539682,15.175459861755371,10.768638226244958,7.165486117677083,72.11907770277392,0.787133179499011
